sourceTaxonId	sourceTaxonName	stage	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	LocationinhostName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	notes	referenceSource	referenceDoi	referenceCitation
EOL:43439715	Allodapa suctoria	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:3275006	Blaps polychresta	body cavity						as Subulura	Abdou and Selim. 1957. Parasitol. Res. 18: 20-23	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:43439715	Allodapa suctoria	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:3279589	Ocnera hispida	body cavity						as Subulura	Abdou and Selim. 1957. Parasitol. Res. 18: 20-23	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968666	Davainea proglottina	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:1049263	Gallus gallus	gut							Abdou. 1958. J. Parasitol. 44: 484-488	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968666	Davainea proglottina	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:4906525	Agriolimax agrestis	gut wall							Abdou. 1958. J. Parasitol. 44: 484-488	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968666	Davainea proglottina	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of		Agriolimax caruanne	gut wall							Abdou. 1958. J. Parasitol. 44: 484-488	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968666	Davainea proglottina	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of		Agriolimax reticulatus	gut wall							Abdou. 1958. J. Parasitol. 44: 484-488	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968666	Davainea proglottina	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:455162	Arion circumscriptus	gut wall							Abdou. 1958. J. Parasitol. 44: 484-488	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968666	Davainea proglottina	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:403118	Arion empericorum	gut wall							Abdou. 1958. J. Parasitol. 44: 484-488	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968666	Davainea proglottina	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:455165	Arion hortensis	gut wall							Abdou. 1958. J. Parasitol. 44: 484-488	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968666	Davainea proglottina	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:455166	Arion intermedius	gut wall							Abdou. 1958. J. Parasitol. 44: 484-488	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968666	Davainea proglottina	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:40368009	Limax cinereus	gut wall							Abdou. 1958. J. Parasitol. 44: 484-488	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968666	Davainea proglottina	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:452588	Limax flavus	gut wall							Abdou. 1958. J. Parasitol. 44: 484-488	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968666	Davainea proglottina	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:4906833	Milax gracilis	gut wall							Abdou. 1958. J. Parasitol. 44: 484-488	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:4968666	Davainea proglottina	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of		Milax sowerbyi	gut wall							Abdou. 1958. J. Parasitol. 44: 484-488	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:589506	Lueheia inscripta	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:1076920	Periplaneta americana	body cavity							Acholonu. 1976. Proc. Helminthol. Soc. Wash. 43: 106-116	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:589506	Lueheia inscripta	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:1052059	Quiscalus niger	gut						experimental infections of grackle chicks failed to produce infections	Acholonu. 1976. Proc. Helminthol. Soc. Wash. 43: 106-116	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:589506	Lueheia inscripta	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:795860	Anolis cristatellus	mesentery							Acholonu. 1976. Proc. Helminthol. Soc. Wash. 43: 106-116	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:16843115	Raillietina cesticillus	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:233445	Aphodius granarius	body cavity						cites Jones 1930	Ackert and Reid. 1936. Trans. Am. Microsc. Soc. 55: 97-100	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:16843115	Raillietina cesticillus	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:1015759	Calathus opaculus	body cavity						cites Jones 1930	Ackert and Reid. 1936. Trans. Am. Microsc. Soc. 55: 97-100	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:16843115	Raillietina cesticillus	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of		Stenocellus debilipes	body cavity						cites Jones 1932	Ackert and Reid. 1936. Trans. Am. Microsc. Soc. 55: 97-100	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
